id_publicacion,titulo,publicadora,fecha_publicacion,id_linea_trabajo,id_egresado,id_profesor
1,"Lille Fridolf and I",Grant-Zboncak,2017-09-09,2,959,47
2,"Where the Truth Lies","Durgan, Marquardt and McCullough",2000-10-17,1,727,221
3,"All in a Night's Work",Cremin-Waelchi,1991-06-05,5,204,60
4,"Casting By","Becker Inc",2013-07-29,1,866,56
5,"Elvira Madigan","Crona, Crona and Ullrich",1995-08-05,5,374,126
6,"Presentation, or Charlotte and Her Steak (Présentation ou Charlotte et son steak)","Rippin Group",2008-08-30,6,101,98
7,"Makioka Sisters, The (Sasame-yuki)","Daugherty and Sons",2020-10-13,6,593,14
8,"Face (Visage)","Klocko, Donnelly and Weber",1993-02-21,6,248,58
9,Resistance,"Carter Group",2019-11-22,1,675,236
10,"June 9 ","Effertz Group",2012-12-06,4,131,158
11,"To Wong Foo, Thanks for Everything! Julie Newmar","Reinger Inc",2009-12-23,3,884,63
12,"Novena, The (La neuvaine)","Bartoletti Inc",2002-11-15,6,497,196
13,"Saps at Sea","Halvorson, Davis and Keebler",1986-03-12,2,524,211
14,"Yacoubian Building, The (Omaret yakobean)",Lehner-Ritchie,1988-06-18,3,400,139
15,"Maxed Out: Hard Times, Easy Credit and the Era of Predatory Lenders","Mann, Hauck and Schroeder",2001-12-10,6,460,108
16,"Killer Joe","Johns LLC",2012-08-18,6,253,116
17,"All American Chump","Koch, Kassulke and Bosco",2008-02-26,2,651,138
18,"Purple Rose of Cairo, The",Glover-McGlynn,2020-11-01,3,306,191
19,"Come Have Coffee with Us","Corkery LLC",2018-01-25,3,57,82
20,"Hue and Cry","Bednar, Heathcote and Barrows",1996-02-08,2,644,66
21,"Big Pun: The Legacy","Dickinson, Baumbach and Christiansen",2000-11-27,1,351,206
22,"Manny & Lo",Stracke-Kohler,2009-04-03,1,776,50
23,Princess,Koepp-White,2023-09-27,1,214,135
24,"Dane Cook: Vicious Circle",Stokes-Grady,1992-11-03,5,991,172
25,"French Twist (Gazon maudit)","Kilback Inc",1991-09-19,6,108,192
26,"Kummelin jackpot","Lynch, Lesch and Hamill",2021-09-09,1,206,249
27,"Sh! The Octopus","Walter and Sons",2004-01-27,5,209,234
28,"Off and Running ","Hauck, Block and O'Conner",1993-04-03,1,11,173
29,"Clear History","Larson Group",2017-02-24,6,718,108
30,"The Good Son","Klein, Buckridge and Weber",1987-02-05,3,365,244
31,"I Love You, I Love You (Je t'aime je t'aime)","Upton LLC",2004-03-01,2,976,80
32,"Blue Chips","Kautzer, Schmidt and Johns",1992-01-05,4,410,175
33,"Aristocrats, The",Lowe-Fritsch,2005-01-01,6,902,147
34,Zotz!,Lindgren-Murray,2013-04-21,1,645,223
35,"On His Own (a.k.a. My Apprenticeship) (V lyudyakh)",McGlynn-Denesik,2009-10-30,6,74,45
36,"Black Legion","Glover, Rath and Nolan",2014-03-03,4,894,36
37,"Forever Mine",Zemlak-Grimes,1992-10-30,1,251,14
38,"The Chaos Class Failed the Class",Lowe-Wunsch,1991-10-31,4,667,120
39,"Witchfinder General (Conquerer Worm, The)","Metz, Abernathy and Gerlach",1987-02-07,3,529,190
40,"From B Movie to Cult Film: Western",Koss-Crona,2006-04-04,3,750,112
41,"In the Army Now","Boehm, Macejkovic and Harber",2012-05-22,6,960,91
42,"Room Service",Dare-Muller,2013-09-04,2,855,247
43,"William Kunstler: Disturbing the Universe","Schumm and Sons",1985-05-26,3,908,46
44,"Breakheart Pass",Grady-Torp,2009-08-20,6,978,136
45,"Gold Diggers of 1935",Weimann-Toy,2000-05-01,4,973,195
46,"Red Psalm (Még kér a nép)",Kub-Kassulke,1994-12-02,2,139,39
47,"Weekend (a.k.a. Le Week-end) (Week End)",Bauch-Blanda,2011-05-16,1,700,165
48,"Aimée & Jaguar",Rolfson-Pfeffer,2016-12-28,1,6,174
49,"No Looking Back",Stehr-Hessel,1989-08-17,3,416,44
50,"I Have Found It (Kandukondain Kandukondain)","Pouros, Mante and Beer",2005-01-30,6,21,190
51,"Century of the Self, The",Dickens-Adams,1987-05-30,2,229,199
52,Michael,"Stokes, Feeney and Blick",1990-01-30,1,774,24
53,Hercules,"Bernier Inc",2000-02-17,4,110,156
54,"Marilena de la P7","Schulist, Nienow and Klein",2016-04-18,6,688,16
55,"Men Cry Bullets","Baumbach LLC",2020-08-01,2,384,28
56,Moordwijven,Walter-Bode,1987-08-17,3,100,39
57,"Home from the Hill","Fritsch, Rau and O'Hara",2005-05-20,3,139,56
58,"Maria's Lovers","Swaniawski, Bauch and Emmerich",2010-03-19,6,375,150
59,"Class of 1999","Douglas Inc",1996-02-29,1,37,70
60,"The Woman on Pier 13","Auer Inc",2011-06-25,6,789,234
61,"Ask the Dust","Marvin, Grimes and Bode",2003-07-13,6,760,181
62,"Straits of Love and Hate, The (Aien kyo)","Weissnat, Kertzmann and Stoltenberg",1991-05-16,1,793,18
63,"Business, The","Boyer, Breitenberg and Bartoletti",2014-04-28,4,962,65
64,"Match, The",Rolfson-Leannon,2010-08-25,3,873,86
65,"Ecstasy (Éxtasis)",Hilpert-Reilly,2017-07-09,2,736,220
66,"Romeo Must Die","Rippin and Sons",2004-02-23,5,127,189
67,"Four Days in July","Bahringer, Kerluke and O'Conner",2016-02-13,5,865,179
68,Lucy,"Upton and Sons",2000-06-01,6,77,225
69,Crisis,Kilback-Hettinger,2007-09-26,4,944,80
70,"Dolly and Her Lover (Räpsy ja Dolly eli Pariisi odottaa)","Blanda, Kshlerin and Jakubowski",2003-05-21,3,970,191
71,"Santa Clause, The","Stoltenberg and Sons",2014-01-07,6,620,249
72,"Time of the Gypsies (Dom za vesanje)","Gleason and Sons",1987-10-21,1,511,89
73,"Castle Keep","Wolff, Swift and Grady",2019-08-27,1,40,87
74,"Redes (Fishermen's Nets) (Wave, The)","Wiza LLC",2001-05-02,1,984,226
75,"Mister Buddwing",Lakin-Lowe,2014-01-27,1,90,145
76,"Manhattan Baby",Legros-Blick,2022-10-14,4,916,58
77,"Double Hour, The (La doppia ora)",Berge-Ruecker,1986-10-25,1,679,42
78,"Nicht mein Tag","Russel, Wolf and Bergstrom",2012-04-27,1,9,150
79,"Travels with My Aunt","Bednar and Sons",2001-04-17,6,481,45
80,"Chain Letter",Block-Armstrong,2005-05-23,6,182,35
81,Lucky,"Hilll Inc",1991-04-29,2,789,16
82,"Chemical Brothers: Don't Think, The",Bernier-Koelpin,1990-10-11,3,516,190
83,"Zero Dark Thirty","Cruickshank Group",2003-12-10,1,625,75
84,"Reel Rock 8 ",Kuhn-Hickle,2013-04-09,1,399,143
85,"G.I. Joe: Retaliation","Berge and Sons",1986-07-16,5,148,187
86,"Boxcar Bertha",Herman-Haley,1992-01-24,2,877,206
87,"Color of Pomegranates, The (Sayat Nova)","Grady Inc",2005-04-09,4,79,111
88,"Last Seduction, The","Moore LLC",1989-11-04,6,137,137
89,"Time for Drunken Horses, A (Zamani barayé masti asbha)","Hettinger LLC",2000-03-31,4,87,115
90,"Princess and the Goblin, The",Gislason-Braun,2005-08-01,3,224,90
91,"Voyage of the Damned","Doyle, Conroy and Kihn",1987-12-19,5,482,164
92,"Sometime in August (Mitte Ende August)",Mohr-Reilly,1997-12-20,1,317,80
93,"Hitcher, The","Ferry Inc",2022-03-22,5,889,8
94,"Hellsinki (Rööperi)",Kohler-Strosin,1992-11-07,3,298,178
95,"Accidents Happen","Halvorson, Bayer and Corwin",1996-06-30,3,232,18
96,"Aries Spears: Hollywood, Look I'm Smiling","Kuhn Inc",1987-04-04,6,853,22
97,"Bright Young Things","Wisoky, Satterfield and White",2000-09-15,6,520,146
98,"Stranger on the Prowl (Imbarco a mezzanotte)","Osinski and Sons",2001-09-04,2,799,136
99,"Method to the Madness of Jerry Lewis",Paucek-O'Reilly,2006-12-16,2,886,24
100,2012,"Steuber Inc",1993-08-26,3,4,42
101,"Sebastian Maniscalco: What's Wrong with People?",Stracke-Altenwerth,2016-10-31,3,780,149
102,"Wrestling Queens","Moore, Daniel and Gottlieb",2009-11-14,3,148,183
103,"3 Strikes","Miller and Sons",1988-04-03,4,410,178
104,"Decline of the American Empire, The (Déclin de l'empire américain, Le)","Watsica, Bins and Hagenes",1987-10-16,4,823,159
105,"Paleface, The","O'Kon, Flatley and Larkin",1996-10-06,4,106,114
106,"The Possession of Michael King","Boehm, Hodkiewicz and Dickinson",2009-06-04,5,484,44
107,"Circles (Krugovi)",Lueilwitz-Beatty,1985-10-04,2,620,68
108,"Holy Man, The (Mahapurush)",Kozey-Koelpin,2017-05-23,4,362,216
109,"Ocean Heaven ","Lindgren, Hintz and Schulist",2009-08-29,2,402,6
110,"Naked Man, The",Langworth-Bradtke,1997-09-20,1,658,244
111,"Bastards (Les salauds)","Feil LLC",2019-09-15,6,693,107
112,Pizzas,"Fadel, Borer and Hintz",2006-05-24,1,537,244
113,"Temptation of St. Tony, The (Püha Tõnu kiusamine)","Bins, Funk and Hahn",1994-03-03,2,643,193
114,"Tango & Cash","Herman and Sons",2015-09-03,5,340,249
115,"Out Cold","Carter Inc",2013-01-28,4,559,168
116,"Twisted Nerve",Schuppe-McClure,2009-10-26,5,116,154
117,"Apostle Peter and The Last Supper","Wilkinson and Sons",2008-03-13,4,703,128
118,"Pixar Story, The","Moore LLC",1987-02-26,6,93,149
119,Kazaam,"Bernier Inc",1997-12-02,4,512,135
120,"Inbetweeners Movie, The","Predovic, Corkery and Weissnat",2009-09-11,4,182,225
121,"Times and Winds (Bes vakit)","Kassulke LLC",1993-01-04,1,946,244
122,"Rollo and the Woods Sprite (Rölli ja metsänhenki)","Heathcote, Wuckert and Kshlerin",1998-06-09,6,601,128
123,"In a Dark Place","Fay, Flatley and Rowe",2007-01-22,4,36,91
124,"Friends, The (Les Amis)",Aufderhar-Hills,1989-11-02,4,613,160
125,"Rouva presidentti","Deckow, Hintz and White",1988-03-21,6,68,23
126,Baxter,"Stamm Inc",2000-08-24,5,35,65
127,"IMAX: Coral Reef Adventure","Wolf Group",2003-06-23,3,235,222
128,"Death of a Salesman","Littel Inc",1993-06-01,3,131,53
129,"Face (Visage)",Bergstrom-Dickinson,2016-09-27,4,458,76
130,"El Escarabajo de Oro","Denesik, O'Kon and Goldner",2007-02-17,4,335,92
131,"Second Civil War, The","Lind, Abernathy and Johnston",2010-07-15,6,719,179
132,"Legend of Hell House, The","Moore LLC",1998-07-20,6,803,235
133,"Heart Is Deceitful Above All Things, The",Stroman-Robel,1988-02-04,4,818,200
134,"My Sons (Musuko)","Conroy, Willms and Torp",2012-04-30,1,120,33
135,"Absolute Beginners","Muller LLC",1985-06-06,3,220,242
136,"Patrik Age 1.5 (Patrik 1,5)","Muller, Fisher and Lesch",1993-09-30,5,976,50
137,Concussion,"Glover and Sons",2022-01-09,1,998,117
138,"Chelsea on the Rocks","Terry, Ledner and Stoltenberg",2006-06-20,3,135,182
139,Restraint,Schulist-Krajcik,1985-08-05,1,248,42
140,"Some Like It Hot",Bernier-Dicki,2009-11-30,5,319,138
141,"Citizen X",Kilback-Stark,1991-04-24,1,129,74
142,"Open Grave",Walsh-Welch,1987-08-29,4,892,35
143,"Curse of the Demon (Night of the Demon)","McDermott, Kshlerin and Nitzsche",2002-11-04,2,147,119
144,"Parting Glances",Homenick-Kovacek,2009-01-20,1,599,151
145,"No Looking Back","Doyle Group",2023-08-14,2,956,245
146,"Voyage to the Beginning of the World (Viagem ao Princípio do Mundo)",Balistreri-Hayes,1988-07-16,3,845,39
147,"First Men in the Moon","Jenkins, Glover and Lindgren",1986-11-26,6,461,42
148,"Harmful Insect (Gaichu)",Ondricka-Kihn,2012-02-09,5,961,165
